x, y, freq
14, 18, 9,
14, 19, 7,
14, 20, 10,
14, 21, 9,
14, 22, 12,
14, 23, 10,
15, 0, 11,
15, 1, 15,
15, 2, 13,
15, 3, 9,
15, 4, 7,
15, 5, 4,
15, 6, 10,
15, 7, 2,
15, 8, 12,
15, 9, 3,
15, 10, 6,
15, 11, 8,
15, 12, 8,
15, 13, 6,
15, 14, 3,
15, 15, 12,
15, 16, 2,
15, 17, 10,
15, 18, 4,
15, 19, 7,
15, 20, 9,
15, 21, 13,
15, 22, 15,
15, 23, 11,
16, 0, 10,
16, 1, 9,
16, 2, 13,
16, 3, 9,
16, 4, 10,
16, 5, 7,
16, 6, 11,
16, 7, 14,
16, 8, 2,
16, 9, 6,
16, 10, 3,
16, 11, 6,
16, 12, 6,
16, 13, 3,
16, 14, 6,
16, 15, 2,
16, 16, 14,
16, 17, 11,
16, 18, 7,
16, 19, 10,
16, 20, 9,
16, 21, 13,
16, 22, 9,
16, 23, 10,
17, 0, 10,
17, 1, 8,
17, 2, 9,
17, 3, 10,
17, 4, 7,
17, 5, 10,
17, 6, 4,
17, 7, 11,
17, 8, 10,
17, 9, 6,
17, 10, 10,
17, 11, 5,
17, 12, 5,
17, 13, 10,
17, 14, 6,
17, 15, 10,
17, 16, 11,
17, 17, 4,
17, 18, 10,
17, 19, 7,
17, 20, 10,
17, 21, 9,
17, 22, 8,
17, 23, 10,
18, 0, 7,
18, 1, 8,
18, 2, 11,
18, 3, 9,
18, 4, 6,
18, 5, 10,
18, 6, 10,
18, 7, 7,
18, 8, 4,
18, 9, 9,
18, 10, 9,
18, 11, 10,
18, 12, 10,
18, 13, 9,
18, 14, 9,
18, 15, 4,
18, 16, 7,
18, 17, 10,
18, 18, 10,
18, 19, 6,
18, 20, 9,
18, 21, 11,
18, 22, 8,
18, 23, 7,
19, 0, 9,
19, 1, 7,
19, 2, 9,
19, 3, 7,
19, 4, 6,
19, 5, 6,
19, 6, 7,
19, 7, 10,
19, 8, 7,
19, 9, 7,
19, 10, 12,
19, 11, 13,
19, 12, 13,
19, 13, 12,
19, 14, 7,
19, 15, 7,
19, 16, 10,
19, 17, 7,
19, 18, 6,
19, 19, 6,
19, 20, 7,
19, 21, 9,
19, 22, 7,
19, 23, 9,
20, 0, 5,
20, 1, 8,
20, 2, 8,
20, 3, 4,
20, 4, 7,
20, 5, 9,
20, 6, 10,
20, 7, 9,
20, 8, 9,
20, 9, 10,
