dx, dy, freq
8, 10, 78,
8, 11, 72,
8, 12, 64,
8, 13, 66,
8, 14, 66,
8, 15, 48,
8, 16, 56,
8, 17, 46,
8, 18, 44,
8, 19, 24,
8, 20, 30,
8, 21, 14,
8, 22, 8,
8, 23, 2,
9, -23, 2,
9, -22, 6,
9, -21, 12,
9, -20, 20,
9, -19, 24,
9, -18, 40,
9, -17, 44,
9, -16, 58,
9, -15, 48,
9, -14, 48,
9, -13, 58,
9, -12, 54,
9, -11, 82,
9, -10, 72,
9, -9, 80,
9, -8, 82,
9, -7, 94,
9, -6, 96,
9, -5, 108,
9, -4, 118,
9, -3, 114,
9, -2, 116,
9, -1, 124,
9, 1, 124,
9, 2, 116,
9, 3, 114,
9, 4, 118,
9, 5, 108,
9, 6, 96,
9, 7, 94,
9, 8, 82,
9, 9, 80,
9, 10, 72,
9, 11, 82,
9, 12, 54,
9, 13, 58,
9, 14, 48,
9, 15, 48,
9, 16, 58,
9, 17, 44,
9, 18, 40,
9, 19, 24,
9, 20, 20,
9, 21, 12,
9, 22, 6,
9, 23, 2,
10, -22, 20,
10, -21, 16,
10, -20, 16,
10, -19, 26,
10, -18, 26,
10, -17, 34,
10, -16, 44,
10, -15, 46,
10, -14, 50,
10, -13, 54,
10, -12, 54,
10, -11, 70,
10, -10, 68,
10, -9, 72,
10, -8, 78,
10, -7, 80,
10, -6, 76,
10, -5, 88,
10, -4, 100,
10, -3, 120,
10, -2, 116,
10, -1, 146,
10, 1, 146,
10, 2, 116,
10, 3, 120,
10, 4, 100,
10, 5, 88,
10, 6, 76,
10, 7, 80,
10, 8, 78,
10, 9, 72,
10, 10, 68,
10, 11, 70,
10, 12, 54,
10, 13, 54,
10, 14, 50,
10, 15, 46,
10, 16, 44,
10, 17, 34,
10, 18, 26,
10, 19, 26,
10, 20, 16,
10, 21, 16,
10, 22, 20,
11, -23, 8,
11, -22, 4,
11, -21, 6,
11, -20, 14,
11, -19, 28,
11, -18, 26,
11, -17, 42,
11, -16, 38,
11, -15, 60,
11, -14, 40,
11, -13, 44,
11, -12, 60,
11, -11, 76,
11, -10, 70,
11, -9, 82,
11, -8, 72,
11, -7, 76,
11, -6, 88,
11, -5, 94,
11, -4, 84,
11, -3, 90,
11, -2, 94,
11, -1, 104,
11, 1, 104,
11, 2, 94,
11, 3, 90,
11, 4, 84,
11, 5, 94,
11, 6, 88,
11, 7, 76,
11, 8, 72,
11, 9, 82,
11, 10, 70,
11, 11, 76,
11, 12, 60,
11, 13, 44,
11, 14, 40,
11, 15, 60,
11, 16, 38,
11, 17, 42,
11, 18, 26,
11, 19, 28,
11, 20, 14,
11, 21, 6,
11, 22, 4,
11, 23, 8,
12, -23, 2,
12, -22, 6,
12, -21, 18,
12, -20, 14,
12, -19, 22,
12, -18, 34,
12, -17, 30,
12, -16, 32,
12, -15, 30,
12, -14, 48,
12, -13, 48,
12, -12, 56,
12, -11, 60,
12, -10, 54,
12, -9, 54,
12, -8, 64,
12, -7, 76,
12, -6, 88,
12, -5, 88,
12, -4, 82,
12, -3, 88,
12, -2, 90,
12, -1, 116,
12, 1, 116,
12, 2, 90,
12, 3, 88,
12, 4, 82,
12, 5, 88,
12, 6, 88,
12, 7, 76,
12, 8, 64,
12, 9, 54,
12, 10, 54,
12, 11, 60,
12, 12, 56,
12, 13, 48,
12, 14, 48,
12, 15, 30,
12, 16, 32,
12, 17, 30,
12, 18, 34,
12, 19, 22,
12, 20, 14,
12, 21, 18,
12, 22, 6,
12, 23, 2,
13, -23, 2,
13, -22, 4,
